id,title,original_context,altered_context,original_question,altered_question,answer,is_impossible
56d10e8f17492d1400aab84c,New_York_City,"['The city is represented in the National Football League by the New York Giants and the New York Jets, although both teams play their home games at MetLife Stadium in nearby ••East Rutherford, New Jersey••, which hosted Super Bowl XLVIII in 2014.']","The metropolis is represented in the National Football League by the New York Giants and the New York Jets, even though both teams host their home matches at MetLife Stadium in the nearby area of East Rutherford, New Jersey, which was the venue for Super Bowl XLVIII in 2014.",What city is MetLife Stadium located in?,In which city is MetLife Stadium situated?,"East Rutherford, New Jersey",FALSE
56d10f0617492d1400aab867,New_York_City,"[""The city's National Basketball Association teams are the Brooklyn Nets and the ••New York Knicks••, while the New York Liberty is the city's Women's National Basketball Association. The first national college-level basketball championship, the National Invitation Tournament, was held in New York in 1938 and remains in the city. The city is well known for its links to basketball, which is played in nearly every park in the city by local youth, many of whom have gone on to play for major college programs and in the NBA.""]","[""The metropolis's National Basketball Association franchises include the Brooklyn Nets and the ••New York Knicks••, while the New York Liberty represents the city's Women's National Basketball Association. The inaugural national collegiate basketball tournament, known as the National Invitation Tournament, took place in New York in 1938 and continues to be hosted there. The city is widely recognized for its connection to basketball, which is played in almost every park by local youth, many of whom have progressed to participate in significant college programs and in the NBA.""]","Along with the Brooklyn Nets, what NBA team is based in New York?","In addition to the Brooklyn Nets, which NBA franchise is located in New York?",New York Knicks,FALSE
56d1100317492d1400aab880,New_York_City,"[""The annual United States Open Tennis Championships is one of the world's four Grand Slam tennis tournaments and is held at the National Tennis Center in Flushing Meadows-Corona Park, ••Queens••. The New York Marathon is one of the world's largest, and the 2004--2006 events hold the top three places in the marathons with the largest number of finishers, including 37,866 finishers in 2006. The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile. "", ""Boxing is also a prominent part of the city's sporting scene, with events like the Amateur Boxing Golden Gloves being held at Madison Square Garden each year. The city is also considered the host of the Belmont Stakes, the last, longest and oldest of horse racing's Triple Crown races, held just over the city's border at Belmont Park on the first or second Sunday of June. The city also hosted the 1932 U.S. Open golf tournament and the 1930 and 1939 PGA Championships, and has been host city for both events several times, most notably for nearby Winged Foot Golf Club.""]","[""The yearly United States Open Tennis Championships is among the globe's four major Grand Slam tennis competitions and takes place at the National Tennis Center in Flushing Meadows-Corona Park, ••Queens••. The New York Marathon ranks as one of the largest in the world, with the 2004--2006 races occupying the top three spots for the marathons that had the highest number of participants, including 37,866 finishers in 2006. The Millrose Games represents an annual athletics competition whose highlighted event is the Wanamaker Mile."", ""Boxing also constitutes a significant aspect of the city's athletic scene, with events like the Amateur Boxing Golden Gloves occurring at Madison Square Garden each year. The city is also recognized as the venue for the Belmont Stakes, the final, longest, and oldest of horse racing's Triple Crown events, conducted just over the city limits at Belmont Park on the first or second Sunday of June. Additionally, the city hosted the 1932 U.S. Open golf tournament and the 1930 and 1939 PGA Championships, having served as the host city for these events multiple times, particularly for the nearby Winged Foot Golf Club.""]",In what borough is the National Tennis Center located?,Which borough hosts the National Tennis Center?,Queens,FALSE
56d110db17492d1400aab899,New_York_City,"[""The iconic New York City Subway system is the largest rapid transit system in the world when measured by stations in operation, with 469, and by length of routes. New York's subway is notable for nearly the entire system remaining open 24 hours a day, in contrast to the overnight shutdown common to systems in most cities, including Hong Kong, London, Paris, Seoul, and Tokyo. The New York City Subway is also the busiest metropolitan rail transit system in the Western Hemisphere, with ••1.75 billion•• passengers rides in 2014, while Grand Central Terminal, also popularly referred to as Grand Central Station, is the world's largest railway station by number of train platforms.""]","[""The legendary New York City Subway network is the largest rapid transit network globally when assessed by the number of operational stations, totaling 469, and by the total length of its routes. What sets New York's subway apart is that nearly the entire network operates continuously 24 hours a day, unlike the nighttime closures prevalent in systems across many other cities such as Hong Kong, London, Paris, Seoul, and Tokyo. Additionally, the New York City Subway is recognized as the most heavily used urban rail transit system in the Western Hemisphere, with ••1.75 billion•• passenger trips recorded in 2014. Meanwhile, Grand Central Terminal, often referred to as Grand Central Station, holds the title of the largest railway station in the world based on the number of train platforms.""]",How many people rode the New York City Subway in 2014?,What was the passenger count for the New York City Subway in 2014?,1.75 billion,FALSE
56d120c117492d1400aaba0d,New_York_City,"['The ••Democratic Party•• holds the majority of public offices. As of November 2008, 67% of registered voters in the city are Democrats. New York City has not been carried by a Republican in a statewide or presidential election since President Calvin Coolidge won the five boroughs in 1924. In 2012, Democrat Barack Obama became the first presidential candidate of any party to receive more than 80% of the overall vote in New York City, sweeping all five boroughs. Party platforms center on affordable housing, education, and economic development, and labor politics are of importance in the city.']","The ••Democratic Party•• possesses the preponderance of governmental positions. As of November 2008, 67% of enrolled voters in the city are Democrats. New York City has not been won by a Republican in a statewide or presidential election since President Calvin Coolidge triumphed in the five boroughs in 1924. In 2012, Democrat Barack Obama became the inaugural presidential nominee of any party to obtain over 80% of the total votes in New York City, dominating all five boroughs. Party agendas focus on accessible housing, education, and economic growth, with labor issues being significant in the city.",What party are most public officials of New York members of?,Which political party do most public officials of New York belong to?,Democratic Party,FALSE
56d101b117492d1400aab712,New_York_City,"['Much of the scientific research in the city is done in medicine and the life sciences. New York City has the most post-graduate life sciences degrees awarded annually in the United States, with 127 Nobel laureates having roots in local institutions as of 2004؛ while in 2012, ••43,523•• licensed physicians were practicing in New York City. Major biomedical research institutions include Memorial Sloan--Kettering Cancer Center, Rockefeller University, SUNY Downstate Medical Center, Albert Einstein College of Medicine, Mount Sinai School of Medicine, and Weill Cornell Medical College, being joined by the Cornell University/Technion-Israel Institute of Technology venture on Roosevelt Island.']","['A significant portion of the scientific investigation in the metropolis centers around health and the biological sciences. New York City awards the highest number of graduate degrees in life sciences each year in the United States, with a total of 127 Nobel Prize winners linked to local establishments as of 2004; meanwhile, in 2012, ••43,523•• certified doctors were active in New York City. Notable biomedical research facilities encompass Memorial Sloan-Kettering Cancer Center, Rockefeller University, SUNY Downstate Medical Center, Albert Einstein College of Medicine, Mount Sinai School of Medicine, and Weill Cornell Medical College, along with the partnership of Cornell University/Technion-Israel Institute of Technology located on Roosevelt Island.']","As of 2012, how many physicians were working in New York City?","In 2012, what was the number of doctors practicing in New York City?","43,523",FALSE
56d10f6117492d1400aab870,New_York_City,"[""In soccer, New York City is represented by New York City FC of Major League Soccer, who play their home games at Yankee Stadium. The New York Red Bulls play their home games at Red Bull Arena in nearby Harrison, New Jersey. Historically, the city is known for the New York Cosmos, the highly successful former professional soccer team which was the American home of Pelé, one of the world's most famous soccer players. A new version of the New York Cosmos was formed in 2010, and began play in the second division North American Soccer League in 2013. The Cosmos play their home games at James M. Shuart Stadium on the campus of ••Hofstra University••, just outside the New York City limits in Hempstead, New York.""]","['In football, New York City is represented by New York City FC of Major League Soccer, who host their home matches at Yankee Stadium. The New York Red Bulls have their home fixtures at Red Bull Arena in the nearby area of Harrison, New Jersey. Traditionally, the city is recognized for the New York Cosmos, the highly acclaimed former professional football team which served as the American base for Pelé, one of the most renowned soccer athletes worldwide. A revitalized version of the New York Cosmos was established in 2010 and commenced play in the second tier North American Soccer League in 2013. The Cosmos have their home games at James M. Shuart Stadium situated on the grounds of Hofstra University, just outside the limits of New York City in Hempstead, New York.']",At what institution of higher education is James M. Shuart Stadium located?,Which higher education institution is James M. Shuart Stadium affiliated with?,Hofstra University,FALSE
56d11e7b17492d1400aab9d5,New_York_City,"[""Newtown Creek, a 3.5-mile (6-kilometer) a long estuary that forms part of the border between the boroughs of Brooklyn and Queens, has been designated a Superfund site for environmental clean-up and remediation of the waterway's recreational and economic resources for many communities. One of the most heavily used bodies of water in the Port of New York and New Jersey, it had been one of the most contaminated industrial sites in the country, containing years of discarded toxins, an estimated 30 million US gallons (110,000 m3) of spilled oil, including ••the Greenpoint oil spill••, raw sewage from New York City's sewer system, and other accumulation.""]","[""Newtown Creek, a 3.5-mile (6-kilometer) long waterway that delineates part of the boundary between the boroughs of Brooklyn and Queens, has been classified as a Superfund site for ecological restoration and cleanup of the waterway's leisure and economic assets for numerous communities. It is one of the most frequently utilized water bodies in the Port of New York and New Jersey, having been one of the most polluted industrial locations in the nation, harboring decades of dumped contaminants, an estimated 30 million US gallons (110,000 m3) of leaked oil, which includes ••the Greenpoint oil spill••, effluent from New York City's sanitation system, and various other deposits.""]",What notable accidental fossil fuel discharge occurred at Newtown Creek?,What significant unintentional fossil fuel release took place at Newtown Creek?,the Greenpoint oil spill,FALSE
56d147d5e7d4791d00902057,To_Kill_a_Mockingbird,"[""Scholars have characterized To Kill a Mockingbird as both a Southern ••Gothic•• and coming-of-age or Bildungsroman novel. The grotesque and near-supernatural qualities of Boo Radley and his house, and the element of racial injustice involving Tom Robinson contribute to the aura of the Gothic in the novel. Lee used the term Gothic to describe the architecture of Maycomb's courthouse and in regard to Dill's exaggeratedly morbid performances as Boo Radley. Outsiders are also an important element of Southern Gothic texts and Scout and Jem's questions about the hierarchy in the town cause scholars to compare the novel to Catcher in the Rye and Adventures of Huckleberry Finn. "", ""Despite challenging the town's systems, Scout reveres Atticus as an authority above all others, because he believes that following one's conscience is the highest priority, even when the result is social ostracism. However, scholars debate about the Southern Gothic classification, noting that Boo Radley is in fact human, protective, and benevolent. Furthermore, in addressing themes such as alcoholism, incest, rape, and racial violence, Lee wrote about her small town realistically rather than melodramatically. She portrays the problems of individual characters as universal underlying issues in every society.""]","[""Academics have described To Kill a Mockingbird as both a Southern ••Gothic•• and coming-of-age or Bildungsroman narrative. The bizarre and almost otherworldly traits of Boo Radley and his residence, along with the aspect of racial injustice concerning Tom Robinson, enhance the Gothic atmosphere in the story. Lee utilized the term Gothic to depict the design of Maycomb's courthouse and with respect to Dill's dramatically macabre performances as Boo Radley. Outsiders also play a significant role in Southern Gothic literature, and Scout and Jem's inquiries regarding the social hierarchy in the town lead scholars to liken the novel to Catcher in the Rye and Adventures of Huckleberry Finn."", ""Even though she confronts the town's structures, Scout holds Atticus in high esteem as an authority figure above all others, since he maintains that adhering to one's principles is the utmost priority, even when it leads to social exclusion. Nonetheless, academics discuss the classification of Southern Gothic, observing that Boo Radley is, in reality, a human being who is protective and kind-hearted. Additionally, in tackling subjects like alcoholism, incest, rape, and racial violence, Lee depicted her small town in a realistic way instead of melodramatically. She illustrates the dilemmas of individual characters as universal fundamental issues present in every community.""]",What term did Lee use to describe the town's courthouse?,What label did Lee apply to characterize the courthouse of the town?,Gothic,FALSE
56cf4ccdaab44d1400b88f7b,To_Kill_a_Mockingbird,"[""Songbirds and their associated symbolism appear throughout the novel. The family's last name of ••Finch•• also shares Lee's mother's maiden name. The titular mockingbird is a key motif of this theme, which first appears when Atticus, having given his children air-rifles for Christmas, allows their Uncle Jack to teach them to shoot. Atticus warns them that, although they can shoot all the bluejays they want, they must remember that it's a sin to kill a mockingbird. Confused, Scout approaches her neighbor Miss Maudie, who explains that mockingbirds never harm other living creatures. She points out that mockingbirds simply provide pleasure with their songs, saying, They don't do one thing but sing their hearts out for us. Writer Edwin Bruell summarized the symbolism when he wrote in 1964, 'To kill a mockingbird' is to kill that which is innocent and harmless--like Tom Robinson. Scholars have noted that Lee often returns to the mockingbird theme when trying to make a moral point.""]","[""Throughout the novel, songbirds and their corresponding symbolism are prevalent. The family's surname, ••Finch••, also coincidentally matches Lee's mother's maiden name. The titular mockingbird serves as a crucial motif within this theme, first introduced when Atticus, having gifted his children air-rifles for Christmas, permits their Uncle Jack to instruct them in shooting. Atticus cautions them that, although they can aim at as many bluejays as they wish, they must bear in mind that it is a sin to kill a mockingbird. Perplexed, Scout seeks clarification from her neighbor Miss Maudie, who clarifies that mockingbirds do not harm other living beings. She emphasizes that mockingbirds merely bring joy with their melodies, stating, They don't do one thing but sing their hearts out for us. Writer Edwin Bruell encapsulated the symbolism when he penned in 1964, 'To kill a mockingbird' signifies the destruction of innocence and harmlessness--similar to Tom Robinson. Scholars have observed that Lee frequently revisits the mockingbird motif when aiming to convey a moral lesson.""]",Harper Lee's mother's maiden name was what?,What was Harper Lee's mother's maiden surname?,Finch,FALSE
56cf550faab44d1400b8901e,To_Kill_a_Mockingbird,"[""One of the first incidents of the book being challenged was in Hanover, Virginia, in ••1966••: a parent protested that the use of rape as a plot device was immoral. Johnson cites examples of letters to local newspapers, which ranged from amusement to fury؛ those letters expressing the most outrage, however, complained about Mayella Ewell's attraction to Tom Robinson over the depictions of rape. Upon learning the school administrators were holding hearings to decide the book's appropriateness for the classroom, Harper Lee sent $10 to The Richmond News Leader suggesting it to be used toward the enrollment of the Hanover County School Board in any first grade of its choice. The National Education Association in 1968 placed the novel second on a list of books receiving the most complaints from private organizations--after Little Black Sambo.""]","[""One of the initial occurrences of the book being challenged took place in Hanover, Virginia, in ••1966••: a guardian objected that the utilization of sexual assault as a narrative element was unethical. Johnson refers to instances of correspondence to local publications, which varied from amusement to rage; however, those letters expressing the greatest indignation complained about Mayella Ewell's infatuation with Tom Robinson rather than the representations of sexual assault. Upon discovering that the school officials were conducting hearings to determine the book's suitability for the classroom, Harper Lee contributed $10 to The Richmond News Leader, recommending it be applied towards the enrollment of the Hanover County School Board in any first grade of its choice. In 1968, the National Education Association ranked the novel second on a list of books that received the highest number of complaints from private entities--following Little Black Sambo.""]",When was the first major controversy that surfaced from the book?,What year did the initial significant dispute emerge regarding the book?,1966,FALSE
56cf586faab44d1400b890a7,To_Kill_a_Mockingbird,"[""In 2001, Lee was inducted into the Alabama Academy of Honor. In the same year, ••Chicago•• mayor Richard M. Daley initiated a reading program throughout the city's libraries, and chose his favorite book, To Kill a Mockingbird, as the first title of the One City, One Book program. Lee declared that there is no greater honor the novel could receive. By 2004, the novel had been chosen by 25 communities for variations of the citywide reading program, more than any other novel. David Kipen of the National Endowment of the Arts, who supervised The Big Read, states people just seem to connect with it. It dredges up things in their own lives, their interactions across racial lines, legal encounters, and childhood. It's just this skeleton key to so many different parts of people's lives, and they cherish it.""]","[""In the year 2001, Lee was honored by being inducted into the Alabama Academy of Honor. During that same time, ••Chicago••'s mayor, Richard M. Daley, launched a reading initiative across the city's libraries, selecting his preferred book, To Kill a Mockingbird, as the inaugural title for the One City, One Book project. Lee expressed that there is no greater distinction the novel could attain. By 2004, the book had been selected by 25 different communities for variations of the citywide reading initiative, surpassing any other novel. David Kipen from the National Endowment for the Arts, who oversaw The Big Read, mentions that people seem to resonate with it. It brings forth aspects of their own experiences, their interactions across racial divides, legal matters, and childhood memories. It's just this master key to many distinct facets of individuals' lives, and they hold it dear.""]","In 2001, what city's mayor picked To Kill a Mockingbird as their favorite book?","In the year 2001, which city's leader selected To Kill a Mockingbird as his preferred book?",Chicago,FALSE
56cf5c2caab44d1400b8911c,To_Kill_a_Mockingbird,"[""An earlier draft of To Kill a Mockingbird, titled Go Set a Watchman, was controversially released on July 14, 2015. This draft, which was completed in ••1957••, is set 20 years after the time period depicted in To Kill a Mockingbird but is not a continuation of the narrative. This earlier version of the story follows an adult Scout Finch who travels from New York to visit her father, Atticus Finch, in Maycomb, Alabama, where she is confronted by the intolerance in her community. The Watchman manuscript was believed to have been lost until Lee's lawyer Tonja Carter discovered it؛ although this claim has been widely disputed. Watchman contains early versions of many of the characters from To Kill a Mockingbird. "", ""According to Lee's agent Andrew Nurnberg, Mockingbird was originally intended to be the first book of a trilogy: They discussed publishing Mockingbird first, Watchman last, and a shorter connecting novel between the two. This assertion has been discredited however by the rare books expert James S. Jaffe, who reviewed the pages at the request of Lee's attorney and found them to be only another draft of To Kill a Mockingbird. The statement was also contrary to Jonathan Mahler's description of how Watchman was seen as just the first draft of Mockingbird. Instances where many passages overlap between the two books, in some case word for word, also refutes this assertion.""]","[""A prior version of To Kill a Mockingbird, named Go Set a Watchman, was controversially released on July 14, 2015. This manuscript, which was completed in ••1957••, occurs two decades after the timeframe depicted in To Kill a Mockingbird but does not serve as a continuation of the plot. This earlier adaptation of the tale features an adult Scout Finch who travels from New York to visit her father, Atticus Finch, in Maycomb, Alabama, where she faces the bigotry present in her community. The Watchman manuscript was thought to have been lost until it was uncovered by Lee's attorney Tonja Carter; although this assertion has been widely challenged. Watchman includes preliminary versions of many characters from To Kill a Mockingbird."", ""As per Lee's agent Andrew Nurnberg, Mockingbird was initially meant to be the first part of a trilogy: They considered publishing Mockingbird first, Watchman last, and a shorter novel bridging the two. However, this claim has been dismissed by the rare books specialist James S. Jaffe, who examined the pages at the request of Lee's lawyer and concluded that they are merely another draft of To Kill a Mockingbird. This statement also contradicts Jonathan Mahler's explanation of how Watchman was perceived as just the initial draft of Mockingbird. Numerous instances where many sections overlap between the two books, in some cases verbatim, also dispute this claim.""]",Go Set a Watchman was finished in what year?,In which year was Go Set a Watchman completed?,1957,FALSE
56d3988759d6e414001467e2,To_Kill_a_Mockingbird,"[""Native Alabamian Allen Barra sharply criticized Lee and the novel in The Wall Street Journal calling Atticus a repository of cracker-barrel epigrams and the novel represents a sugar-coated myth of Alabama history. Barra writes, It's time to stop pretending that To Kill a Mockingbird is some kind of timeless classic that ranks with the great works of American literature. Its bloodless liberal humanism is sadly dated. Thomas Mallon in The New Yorker criticizes Atticus' stiff and self-righteous demeanor, and calls Scout a kind of highly constructed doll whose speech and actions are improbable. "", ""Although acknowledging that the novel works, Mallon blasts Lee's wildly unstable narrative voice for developing a story about a content neighborhood until it begins to impart morals in the courtroom drama, following with his observation that the book has begun to cherish its own goodness by the time the case is over.[note 2] Defending the book, ••Akin Ajayi•• writes that justice is often complicated, but must always be founded upon the notion of equality and fairness for all. Ajayi states that the book forces readers to question issues about race, class, and society, but that it was not written to resolve them.""]","[""Local Alabamian Allen Barra harshly criticized Lee and the novel in The Wall Street Journal, labeling Atticus as a repository of cracker-barrel sayings and asserting that the novel portrays a sugar-coated representation of Alabama's history. Barra states, It's time to cease pretending that To Kill a Mockingbird is some sort of ageless classic that stands among the esteemed works of American literature. Its detached liberal humanism is regrettably outdated. Thomas Mallon in The New Yorker critiques Atticus' rigid and self-satisfied behavior, describing Scout as a type of meticulously crafted doll whose dialogue and actions are implausible."", ""While admitting that the novel functions, Mallon condemns Lee's erratically fluctuating narrative voice for crafting a tale about a complacent community until it starts imparting morals during the courtroom scenes, following up with his remark that the book has begun to value its own virtue by the conclusion of the case. Defending the novel, ••Akin Ajayi•• argues that justice is often intricate, but must invariably be based on the principles of equality and fairness for everyone. Ajayi contends that the book compels readers to examine matters of race, class, and society, although it was not intended to provide solutions.""]",Who wrote that the book forces readers to question issues without resolving them?,Who stated that the novel compels readers to explore issues without providing solutions?,Akin Ajayi,FALSE
56ce5b66aab44d1400b886e9,Solar_energy,"[""The total solar energy absorbed by Earth's atmosphere, oceans and land masses is approximately 3,850,000 exajoules (EJ) per year. In 2002, this was more energy in one hour than the world used in ••one year••. Photosynthesis captures approximately 3,000 EJ per year in biomass. The amount of solar energy reaching the surface of the planet is so vast that in one year it is about twice as much as will ever be obtained from all of the Earth's non-renewable resources of coal, oil, natural gas, and mined uranium combined,""]","[""The total solar power absorbed by the Earth's atmosphere, seas, and land areas is roughly 3,850,000 exajoules (EJ) annually. In 2002, this represented more energy in a single hour than what the entire planet consumed in ••one year••. Photosynthesis assimilates approximately 3,000 EJ per year into biological matter. The quantity of solar energy that reaches the surface of the Earth is so immense that in one year it equates to about double the total that will ever be extracted from all of the planet's non-renewable resources such as coal, oil, natural gas, and extracted uranium combined,""]","In 2002, the Sun provided more energy in one hour than humans used in what span of time?","In 2002, the Sun delivered more energy in a single hour than humanity utilized in what duration of time?",one year,FALSE
56cfe96c234ae51400d9c091,Solar_energy,['Solar hot water systems use ••sunlight•• to heat water. In low geographical latitudes (below 40 degrees) from 60 to 70% of the domestic hot water use with temperatures up to 60 °C can be provided by solar heating systems. The most common types of solar water heaters are evacuated tube collectors (44%) and glazed flat plate collectors (34%) generally used for domestic hot water؛ and unglazed plastic collectors (21%) used mainly to heat swimming pools.'],"Solar thermal systems utilize ••sunlight•• to warm water. In lower geographic latitudes (below 40 degrees), between 60 to 70% of the household hot water requirements with temperatures reaching up to 60 °C can be satisfied by solar heating systems. The prevalent varieties of solar water heaters consist of evacuated tube collectors (44%) and glazed flat plate collectors (34%) mostly utilized for residential hot water, along with unglazed plastic collectors (21%) primarily employed to warm swimming pools.",What do Solar hot water systems use to heat water?,What do solar thermal systems utilize to warm water?,sunlight,FALSE
56cfea9a234ae51400d9c0ac,Solar_energy,"['As of 2007, the total installed capacity of solar hot water systems is approximately 154 thermal gigawatt (GWth). ••China•• is the world leader in their deployment with 70 GWth installed as of 2006 and a long-term goal of 210 GWth by 2020. Israel and Cyprus are the per capita leaders in the use of solar hot water systems with over 90% of homes using them. In the United States, Canada and Australia heating swimming pools is the dominant application of solar hot water with an installed capacity of 18 GWth as of 2005.']","As of 2007, the overall installed capacity of solar thermal water systems is roughly 154 thermal gigawatt (GWth). ••China•• stands as the global frontrunner in their implementation, boasting 70 GWth installed by 2006 and an ambitious target of 210 GWth by 2020. Israel and Cyprus claim the top positions in per capita utilization of solar thermal water systems, with more than 90% of households employing them. In the U.S., Canada, and Australia, the primary application for solar thermal water is for heating swimming pools, with an installed capacity of 18 GWth recorded in 2005.",What country is the leader in the implementation of solar powered hot water systems?,Which nation is the foremost in the deployment of solar thermal hot water systems?,China,FALSE
56d00697234ae51400d9c297,Solar_energy,"[""Solar power is anticipated to become the world's largest source of electricity by ••2050••, with solar photovoltaics and concentrated solar power contributing 16 and 11 percent to the global overall consumption, respectively.""]","['It is expected that solar energy will emerge as the leading source of electricity worldwide by ••2050••, with solar photovoltaics and concentrated solar energy accounting for 16 and 11 percent of the total global consumption, respectively.']",When is solar power is foreseen to become the largest source of electricity?,When is it predicted that solar energy will become the primary source of electricity?,2050,FALSE
56d08f34234ae51400d9c389,Solar_energy,"['Hydrogen production technologies been a significant area of solar chemical research since the 1970s. Aside from electrolysis driven by photovoltaic or photochemical cells, several thermochemical processes have also been explored. One such route ••uses concentrators to split water into oxygen and hydrogen at high temperatures•• (2,300--2,600 °C or 4,200--4,700 °F). Another approach uses the heat from solar concentrators to drive the steam reformation of natural gas thereby increasing the overall hydrogen yield compared to conventional reforming methods. Thermochemical cycles characterized by the decomposition and regeneration of reactants present another avenue for hydrogen production. The Solzinc process under development at the Weizmann Institute uses a 1 MW solar furnace to decompose zinc oxide (ZnO) at temperatures above 1,200 °C (2,200 °F). This initial reaction produces pure zinc, which can subsequently be reacted with water to produce hydrogen.']","Hydrogen generation technologies have been a crucial field of solar chemical investigation since the 1970s. In addition to electrolysis powered by photovoltaic or photochemical cells, numerous thermochemical methods have been examined. One such method utilizes concentrators to separate water into oxygen and hydrogen at elevated temperatures (2,300--2,600 °C or 4,200--4,700 °F). Another technique employs the heat from solar concentrators to facilitate the steam reforming of natural gas, thus enhancing the total hydrogen output compared to traditional reforming techniques. Thermochemical cycles defined by the breakdown and reconstitution of reactants offer another pathway for hydrogen creation. The Solzinc process, currently in development at the Weizmann Institute, employs a 1 MW solar furnace to decompose zinc oxide (ZnO) at temperatures exceeding 1,200 °C (2,200 °F). This initial reaction yields pure zinc, which can then be reacted with water to generate hydrogen.",What is one of the thermochemical processes that has been explored besides electrolysis?,What is one of the thermochemical methods that has been investigated in addition to electrolysis?,uses concentrators to split water into oxygen and hydrogen at high temperatures,FALSE
56d097fb234ae51400d9c3b0,Solar_energy,"['The 1973 oil embargo and 1979 energy crisis caused a reorganization of energy policies around the world and brought renewed attention to developing solar technologies. Deployment strategies focused on incentive programs such as the Federal Photovoltaic Utilization Program in the US and the Sunshine Program in Japan. Other efforts included the formation of research facilities in the US (••SERI, now NREL••), Japan (NEDO), and Germany (Fraunhofer Institute for Solar Energy Systems ISE).']","['The oil embargo of 1973 and the energy crisis of 1979 led to a restructuring of global energy policies and rekindled interest in advancing solar technologies. Implementation strategies emphasized incentive initiatives like the Federal Photovoltaic Utilization Program in the United States and the Sunshine Program in Japan. Additional actions included establishing research institutions in the US (••SERI, currently NREL••), Japan (NEDO), and Germany (Fraunhofer Institute for Solar Energy Systems ISE).']",What is the name of the solar energy research facility in the US?,What is the title of the solar research facility located in the United States?,"SERI, now NREL",FALSE
56d098d8234ae51400d9c3b9,Solar_energy,"['Commercial solar water heaters began appearing in the United States in the 1890s. These systems saw increasing use until the 1920s but were gradually replaced by cheaper and more reliable heating fuels. As with photovoltaics, solar water heating attracted renewed attention as a result of the oil crises in the 1970s but interest subsided in the 1980s due to ••falling petroleum prices••. Development in the solar water heating sector progressed steadily throughout the 1990s and growth rates have averaged 20% per year since 1999. Although generally underestimated, solar water heating and cooling is by far the most widely deployed solar technology with an estimated capacity of 154 GW as of 2007.']","Commercial solar hot water systems began making their appearance in the United States during the 1890s. These installations experienced a rise in utilization until the 1920s, but were gradually supplanted by less expensive and more dependable heating fuels. Similar to photovoltaics, solar water heating regained interest due to the oil crises of the 1970s, yet enthusiasm waned in the 1980s because of ••declining oil prices••. Advances in the solar water heating industry developed steadily throughout the 1990s, with growth rates averaging 20% annually since 1999. Although often undervalued, solar water heating and cooling is by far the most extensively utilized solar technology, boasting an estimated capacity of 154 gigawatts as of 2007.",Why did interest in solar water heating decrease in the 1980s?,What caused the decline in interest for solar water heating during the 1980s?,falling petroleum prices,FALSE
56d0f8a117492d1400aab6b0,Kanye_West,"[""West is one of the best-selling artists of all time, having sold more than 32 million albums and 100 million digital downloads worldwide. He has won a total of 21 Grammy Awards, making him one of the most awarded artists of all time and the most Grammy-awarded artist of his age. Three of his albums rank on Rolling Stone's 2012 500 Greatest Albums of All Time list؛ two of his albums feature at first and eighth, respectively, in Pitchfork Media's The 100 Best Albums of 2010--2014. He has also been included in a number of Forbes annual lists. Time named him one of the 100 most influential people in the world in ••2005 and 2015••.""]","[""West is among the highest-selling performers in history, having sold over 32 million records and 100 million digital downloads globally. He has received a total of 21 Grammy Awards, establishing him as one of the most awarded musicians ever and the artist with the highest number of Grammys in his era. Three of his albums are listed in Rolling Stone's 2012 ranking of the 500 Greatest Albums of All Time; two of his albums hold the first and eighth positions, respectively, in Pitchfork Media's The 100 Best Albums of 2010–2014. He has also appeared on several of Forbes' yearly rankings. Time recognized him as one of the 100 most significant individuals worldwide in ••2005 and 2015••.""]",Which years was Kanye West mentioned in Time Magazine?,In which years did Time Magazine feature Kanye West?,2005 and 2015,FALSE
